epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,789.91,1.13819,0.80569,1.19632,0.67496,0.63502,0.65121,0.38376,1.48239,0.95131,1.38866,0.000742815,0.000742815,0.000742815
58,803.66,1.13855,0.80587,1.19623,0.79329,0.66798,0.73624,0.39625,1.50076,0.91713,1.38498,0.000726312,0.000726312,0.000726312
59,817.702,1.12316,0.79518,1.19071,0.78469,0.60993,0.69545,0.39395,1.49411,0.96382,1.39482,0.000709809,0.000709809,0.000709809
60,831.426,1.12399,0.80144,1.19246,0.76236,0.65382,0.71841,0.40376,1.45801,0.90012,1.376,0.000693305,0.000693305,0.000693305
61,845.218,1.10402,0.7757,1.17982,0.85535,0.58701,0.70097,0.39233,1.46192,0.90352,1.38085,0.000676802,0.000676802,0.000676802
62,858.939,1.11587,0.78704,1.18758,0.78696,0.61956,0.70035,0.3932,1.48008,0.93026,1.38348,0.000660299,0.000660299,0.000660299
63,872.715,1.11955,0.78296,1.18553,0.75441,0.67398,0.71616,0.40847,1.47626,0.92154,1.37968,0.000643795,0.000643795,0.000643795
64,886.466,1.11239,0.77737,1.17649,0.77067,0.64372,0.7103,0.40224,1.47399,0.92897,1.37632,0.000627292,0.000627292,0.000627292
65,900.202,1.10004,0.75641,1.17416,0.7597,0.65544,0.7119,0.40725,1.46617,0.92188,1.37593,0.000610789,0.000610789,0.000610789
66,914.187,1.08859,0.74552,1.16453,0.74131,0.65323,0.71653,0.41163,1.44954,0.89298,1.364,0.000594286,0.000594286,0.000594286
67,927.955,1.07355,0.748,1.16259,0.80752,0.66855,0.74076,0.42799,1.44508,0.88528,1.35749,0.000577782,0.000577782,0.000577782
68,941.934,1.07691,0.75297,1.16147,0.76974,0.69262,0.72283,0.41149,1.4508,0.90622,1.37295,0.000561279,0.000561279,0.000561279
69,955.813,1.10083,0.75767,1.16388,0.80213,0.68081,0.75097,0.42656,1.44537,0.92474,1.34966,0.000544776,0.000544776,0.000544776
70,969.509,1.08001,0.73565,1.16448,0.75857,0.64948,0.72026,0.41194,1.42921,0.88663,1.35246,0.000528272,0.000528272,0.000528272
71,983.143,1.07091,0.7207,1.15678,0.73771,0.67173,0.72433,0.41135,1.4444,0.89429,1.35956,0.000511769,0.000511769,0.000511769
72,996.918,1.05924,0.73706,1.15117,0.72456,0.6695,0.71393,0.41075,1.42443,0.90235,1.34558,0.000495266,0.000495266,0.000495266
73,1010.58,1.04694,0.71774,1.14037,0.75681,0.68223,0.71412,0.40041,1.46174,0.92012,1.37825,0.000478762,0.000478762,0.000478762
74,1024.34,1.06032,0.72156,1.15211,0.76996,0.64155,0.71712,0.41062,1.43646,0.8918,1.35638,0.000462259,0.000462259,0.000462259
75,1038.07,1.0726,0.71979,1.14794,0.73127,0.67568,0.73187,0.40895,1.4413,0.90722,1.36896,0.000445756,0.000445756,0.000445756
76,1051.82,1.06302,0.71724,1.14513,0.72997,0.67487,0.71762,0.40149,1.4292,0.88316,1.36266,0.000429253,0.000429253,0.000429253
77,1065.53,1.03417,0.69358,1.13474,0.79533,0.6536,0.74,0.4071,1.433,0.87705,1.36486,0.000412749,0.000412749,0.000412749
78,1079.33,1.02341,0.69517,1.13415,0.78221,0.6655,0.73888,0.41079,1.44898,0.88944,1.36814,0.000396246,0.000396246,0.000396246
79,1093.01,1.02582,0.69463,1.13772,0.77492,0.63364,0.72509,0.41059,1.44669,0.90985,1.37985,0.000379743,0.000379743,0.000379743
80,1106.65,1.03302,0.69755,1.13202,0.76927,0.66862,0.73325,0.4129,1.42599,0.87427,1.36527,0.000363239,0.000363239,0.000363239
81,1120.34,1.02525,0.69443,1.13279,0.81273,0.62779,0.72682,0.41913,1.43457,0.87488,1.35623,0.000346736,0.000346736,0.000346736
82,1134.07,1.0047,0.6839,1.12279,0.77902,0.66026,0.73566,0.41667,1.4435,0.89186,1.37504,0.000330233,0.000330233,0.000330233
